,date_orig_id,index,date_str,AWND,PRCP,SNOW,SNWD,TAVG
61,2018-01-02-ATL,ATL,2018-01-02,27.0,0.0,0.0,0.0,-53.0
62,2018-01-02-CLT,CLT,2018-01-02,14.0,0.0,0.0,0.0,-62.0
63,2018-01-02-BNA,BNA,2018-01-02,22.0,0.0,0.0,0.0,-103.0
64,2018-01-02-AUS,AUS,2018-01-02,48.0,0.0,0.0,0.0,-14.0
65,2018-01-02-DAL,DAL,2018-01-02,33.0,0.0,0.0,0.0,-43.0
66,2018-01-02-MCI,MCI,2018-01-02,31.0,0.0,0.0,0.0,-112.5
67,2018-01-02-STL,STL,2018-01-02,24.0,0.0,0.0,0.0,-146.0
68,2018-01-02-LGA,LGA,2018-01-02,62.0,0.0,0.0,0.0,-76.0
69,2018-01-02-EWR,EWR,2018-01-02,64.0,0.0,0.0,0.0,-78.0
70,2018-01-02-BOS,BOS,2018-01-02,57.0,0.0,0.0,0.0,-123.0
71,2018-01-02-MKE,MKE,2018-01-02,62.0,0.0,0.0,30.0,-157.0
72,2018-01-02-MSP,MSP,2018-01-02,53.0,0.0,3.0,80.0,-192.0
73,2018-01-02-HNL,HNL,2018-01-02,45.0,0.0,0.0,0.0,246.0
74,2018-01-02-LAS,LAS,2018-01-02,32.0,0.0,0.0,0.0,-44.0
75,2018-01-02-LAX,LAX,2018-01-02,24.0,0.0,0.0,0.0,154.0
76,2018-01-02-PHX,PHX,2018-01-02,20.0,0.0,0.0,0.0,153.0
77,2018-01-02-SAN,SAN,2018-01-02,20.0,0.0,0.0,0.0,158.0
78,2018-01-02-OAK,OAK,2018-01-02,14.0,0.0,0.0,0.0,105.5
79,2018-01-02-SFO,SFO,2018-01-02,11.0,0.0,0.0,0.0,120.0
80,2018-01-02-SJC,SJC,2018-01-02,7.0,0.0,0.0,0.0,128.0
81,2018-01-02-SLC,SLC,2018-01-02,16.0,0.0,0.0,0.0,-3.0
82,2018-01-02-PDX,PDX,2018-01-02,52.0,0.0,0.0,0.0,33.0
83,2018-01-02-SEA,SEA,2018-01-02,35.0,0.0,0.0,0.0,29.0
84,2018-01-02-IND,IND,2018-01-02,16.0,0.0,0.0,0.0,-182.0
85,2018-01-02-RSW,RSW,2018-01-02,44.0,0.0,0.0,0.0,14.5
86,2018-01-02-DEN,DEN,2018-01-02,25.0,0.0,0.0,0.0,-27.5
87,2018-01-02-SNA,SNA,2018-01-02,8.0,0.0,0.0,0.0,178.0
88,2018-01-02-SMF,SMF,2018-01-02,10.0,0.0,0.0,0.0,83.5
89,2018-01-02-BWI,BWI,2018-01-02,44.0,0.0,0.0,0.0,-90.0
90,2018-01-02-IAD,IAD,2018-01-02,30.0,0.0,0.0,0.0,-96.0
91,2018-01-02-CVG,CVG,2018-01-02,23.0,0.0,0.0,30.0,-162.0
92,2018-01-02-CMH,CMH,2018-01-02,26.0,0.0,0.0,0.0,-10.5
93,2018-01-02-PHL,PHL,2018-01-02,53.0,0.0,0.0,0.0,-71.5
94,2018-01-02-JFK,JFK,2018-01-02,70.0,0.0,0.0,0.0,-76.0
95,2018-01-02-PIT,PIT,2018-01-02,38.0,0.0,0.0,50.0,-132.0
96,2018-01-02-ORD,ORD,2018-01-02,50.0,0.0,0.0,30.0,-191.0
97,2018-01-02-DTW,DTW,2018-01-02,68.0,0.0,0.0,150.0,-129.0
98,2018-01-03-DFW,DFW,2018-01-03,34.0,0.0,0.0,0.0,-8.0
99,2018-01-03-CLE,CLE,2018-01-03,59.0,0.0,0.0,0.0,-104.5
100,2018-01-03-MCO,MCO,2018-01-03,62.0,292.0,0.0,0.0,89.0
101,2018-01-03-MIA,MIA,2018-01-03,44.0,127.0,0.0,0.0,184.0
102,2018-01-03-TPA,TPA,2018-01-03,51.0,142.0,0.0,0.0,86.0
103,2018-01-03-FLL,FLL,2018-01-03,55.0,74.0,0.0,0.0,174.0
104,2018-01-03-MSY,MSY,2018-01-03,41.0,0.0,0.0,0.0,34.0
105,2018-01-03-HOU,HOU,2018-01-03,37.0,0.0,0.0,0.0,7.0
106,2018-01-03-SAT,SAT,2018-01-03,20.0,0.0,0.0,0.0,12.0
107,2018-01-03-IAH,IAH,2018-01-03,26.0,0.0,0.0,0.0,7.0
108,2018-01-03-RDU,RDU,2018-01-03,19.0,15.0,23.0,0.0,-63.0
109,2018-01-03-DCA,DCA,2018-01-03,17.0,0.0,0.0,0.0,-50.0
110,2018-01-03-ATL,ATL,2018-01-03,34.0,0.0,0.0,0.0,-5.0
111,2018-01-03-CLT,CLT,2018-01-03,23.0,0.0,0.0,0.0,-41.0
112,2018-01-03-BNA,BNA,2018-01-03,26.0,0.0,0.0,0.0,-50.0
113,2018-01-03-AUS,AUS,2018-01-03,14.0,0.0,0.0,0.0,-8.0
114,2018-01-03-DAL,DAL,2018-01-03,22.0,0.0,0.0,0.0,-9.0
115,2018-01-03-MCI,MCI,2018-01-03,45.0,0.0,0.0,0.0,-63.0
116,2018-01-03-STL,STL,2018-01-03,58.0,0.0,0.0,0.0,-67.0
117,2018-01-03-LGA,LGA,2018-01-03,31.0,0.0,0.0,0.0,-52.0
118,2018-01-03-EWR,EWR,2018-01-03,26.0,0.0,0.0,0.0,-68.0
119,2018-01-03-BOS,BOS,2018-01-03,42.0,0.0,0.0,0.0,-62.0
120,2018-01-03-MKE,MKE,2018-01-03,58.0,0.0,3.0,30.0,-113.0
121,2018-01-03-MSP,MSP,2018-01-03,49.0,0.0,0.0,80.0,-142.0
122,2018-01-03-HNL,HNL,2018-01-03,49.0,0.0,0.0,0.0,240.0
123,2018-01-03-LAS,LAS,2018-01-03,38.0,0.0,0.0,0.0,-5.0
124,2018-01-03-LAX,LAX,2018-01-03,22.0,0.0,0.0,0.0,167.0
125,2018-01-03-PHX,PHX,2018-01-03,23.0,0.0,0.0,0.0,163.0
126,2018-01-03-SAN,SAN,2018-01-03,9.0,0.0,0.0,0.0,164.0
127,2018-01-03-OAK,OAK,2018-01-03,17.0,157.0,0.0,0.0,88.5
128,2018-01-03-SFO,SFO,2018-01-03,13.0,76.0,0.0,0.0,126.0
129,2018-01-03-SJC,SJC,2018-01-03,17.0,104.0,0.0,0.0,119.5
130,2018-01-03-SLC,SLC,2018-01-03,16.0,0.0,0.0,0.0,-15.0
131,2018-01-03-PDX,PDX,2018-01-03,49.0,0.0,0.0,0.0,41.0
132,2018-01-03-SEA,SEA,2018-01-03,39.0,0.0,0.0,0.0,41.0
