,month,unique_carrier,carrier_group_new,sdomt_gallons,satl_gallons,spac_gallons,slat_gallons,sint_gallons,ts_gallons,tdomt_gallons,tint_gallons,total_gallons,sdomt_cost,satl_cost,spac_cost,slat_cost,sint_cost,ts_cost,tdomt_cost,tint_cost,total_cost,year
58,1,1BQ,1,0,0,0,0,0,0,4597.0,214712,219309.0,0,0,0,0,0,0,32362,1508670,1541032,2017
59,1,23Q,1,0,0,0,0,0,0,2013.0,80888,82901.0,0,0,0,0,0,0,4005,160926,164931,2017
60,1,27Q,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2017
61,1,5V,1,288080,0,0,0,0,288080,343787.0,0,343787.0,640228,0,0,0,0,640228,764031,0,764031,2017
62,1,5X,3,34644000,10416000,16379000,2940000,29735000,64379000,34644000.0,29735000,64379000.0,53132000,13782000,23341000,4811000,41934000,95066000,53132000,41934000,95066000,2017
63,1,5Y,3,0,0,0,0,0,0,6480235.0,24055137,30535372.0,0,0,0,0,0,0,12025032,43357114,55382146,2017
64,1,8C,2,0,0,0,0,0,0,47241.0,555302,602543.0,0,0,0,0,0,0,59783,1064685,1124468,2017
65,1,9E,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2017
66,1,9S,2,718335,4203058,530133,0,4733191,5451526,718335.0,4733191,5451526.0,1508503,8826422,1113279,0,9939701,11448204,1508503,9939701,11448204,2017
67,1,AA,3,173469401,33206328,24149194,49782778,107138300,280607701,174090394.0,107455774,281546168.0,266034459,52883341,38300249,82143269,173326859,439361318,267005785,173882538,440888323,2017
68,1,ABX,2,17328,0,0,0,0,17328,17328.0,0,17328.0,29284,0,0,0,0,29284,29284,0,29284,2017
69,1,AS,3,39039714,0,0,759544,759544,39799258,39098220.0,759544,39857764.0,68342738,0,0,1406341,1406341,69749079,68433988,1406341,69840329,2017
70,1,B6,3,52616464,0,0,12623355,12623355,65239819,52620184.0,12623355,65243539.0,88820941,0,0,21309267,21309267,110130208,88828064,21309267,110137331,2017
71,1,CP,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2017
72,1,DL,3,150473387,44131080,32347693,29282078,105760851,256234238,152284041.0,105902941,258186982.0,250418287,73443082,53833134,48731327,176007543,426425830,254460963,176244009,430704972,2017
73,1,EE,1,0,0,0,0,0,0,148320.0,279440,427760.0,0,0,0,0,0,0,280325,528142,808467,2017
74,1,EV,3,87798,0,0,0,0,87798,87798.0,0,87798.0,241962,0,0,0,0,241962,241962,0,241962,2017
75,1,F9,3,17285649,0,0,1581768,1581768,18867417,17288699.0,1581768,18870467.0,26865074,0,0,2667264,2667264,29532338,26871434,2667264,29538698,2017
76,1,FX,3,56840294,11705353,18691628,1936777,32333758,89174052,58142242.0,32953989,91096231.0,89360000,19233000,30560000,3384000,53177000,142537000,91498000,54335000,145833000,2017
77,1,G4,3,13670041,0,0,0,0,13670041,14466463.0,0,14466463.0,24628856,0,0,0,0,24628856,26151460,0,26151460,2017
78,1,G7,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2017
79,1,GFQ,1,0,0,0,0,0,0,72400.0,96485,168885.0,0,0,0,0,0,0,152176,211456,363632,2017
80,1,GL,2,0,0,0,0,0,0,340111.0,367649,707760.0,0,0,0,0,0,0,741648,804181,1545829,2017
81,1,HA,3,14146777,0,7342205,0,7342205,21488982,14166464.0,7342205,21508669.0,22743910,0,11956007,0,11956007,34699917,22776163,11956007,34732170,2017
82,1,WL,1,0,0,0,0,0,0,82209.0,12299,94508.0,0,0,0,0,0,0,173913,26018,199931,2017
83,1,KAQ,2,0,0,0,0,0,0,547707.0,3026276,3573983.0,0,0,0,0,0,0,904665,5560123,6464788,2017
84,1,KD,1,0,0,0,0,0,0,313863.0,342172,656035.0,0,0,0,0,0,0,635754,687321,1323075,2017
85,1,KH,1,436860,0,0,0,0,436860,436860.0,0,436860.0,723082,0,0,0,0,723082,723082,0,723082,2017
86,1,KLQ,1,0,0,0,0,0,0,69542.0,38921,108463.0,0,0,0,0,0,0,145734,90451,236185,2017
87,1,L2,1,79040,0,0,0,0,79040,168849.0,16907,185756.0,186411,0,0,0,0,186411,420337,26124,446461,2017
88,1,M6,2,0,0,0,1424029,1424029,1424029,196716.0,1424029,1620745.0,0,0,0,2577590,2577590,2577590,356069,2577590,2933659,2017
89,1,MQ,3,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2017
90,1,N8,1,0,0,0,0,0,0,130949.0,1112308,1243257.0,0,0,0,0,0,0,308864,2269013,2577877,2017
91,1,NC,1,330977,0,0,0,0,330977,365193.0,1235,366428.0,604311,0,0,0,0,604311,655609,2324,657933,2017
92,1,NK,3,24523033,0,0,2103496,2103496,26626529,24523033.0,2103496,26626529.0,42391182,0,0,3636160,3636160,46027342,42391182,3636160,46027342,2017
93,1,OH,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2017
94,1,OO,3,5631031,0,0,0,0,5631031,5631031.0,0,5631031.0,11005676,0,0,0,0,11005676,11005676,0,11005676,2017
95,1,PFQ,1,0,0,0,0,0,0,0.0,287340,287340.0,0,0,0,0,0,0,0,540515,540515,2017
96,1,PO,3,2972233,706618,12426063,0,13132681,16104914,2972233.0,13132681,16104914.0,4932681,1381548,19169925,0,20551473,25484154,4932681,20551473,25484154,2017
97,1,PRQ,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2017
98,1,QX,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2017
99,1,SY,2,3244005,0,0,1610803,1610803,4854808,3884944.0,1714785,5599729.0,5683184,0,0,2989805,2989805,8672989,6660467,3155260,9815727,2017
100,1,U7,2,0,0,0,0,0,0,277568.0,6307,283875.0,0,0,0,0,0,0,482968,15157,498125,2017
101,1,UA,3,114135421,50681127,56129894,32327378,139138399,253273820,115242670.0,139805649,255048319.0,181090577,81595787,92134732,54909181,228639700,409730277,182772832,229727957,412500789,2017
102,1,VX,3,15375472,0,0,176095,176095,15551567,15928312.0,176095,16104407.0,24081055,0,0,314887,314887,24395942,24994366,314887,25309253,2017
103,1,WI,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2017
104,1,WP,1,195365,0,0,0,0,195365,195365.0,0,195365.0,329664,0,0,0,0,329664,329664,0,329664,2017
105,1,X9,2,0,0,0,0,0,0,481822.0,2856741,3338563.0,0,0,0,0,0,0,880829,5972428,6853257,2017
106,1,XP,1,0,0,0,0,0,0,359944.0,339349,699293.0,0,0,0,0,0,0,716107,675133,1391240,2017
107,1,YV,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2017
108,1,YX,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2017
109,1,ZW,2,3636,0,0,0,0,3636,3636.0,0,3636.0,12151,0,0,0,0,12151,12151,0,12151,2017
110,1,WN,3,162137430,0,0,1327699,1327699,163465129,162340545.0,1327699,163668244.0,288113764,0,0,2697338,2697338,290811102,288448797,2697338,291146135,2017
111,1,0JQ,1,0,0,0,0,0,0,113588.0,20237,133825.0,0,0,0,0,0,0,290954,87265,378219,2015
112,1,0WQ,1,0,0,0,0,0,0,149758.0,23240,172998.0,0,0,0,0,0,0,515168,61121,576289,2015
113,1,OH,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2015
114,1,23Q,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2015
115,1,5V,1,248419,0,0,0,0,248419,312227.0,0,312227.0,747989,0,0,0,0,747989,940115,0,940115,2015
116,1,5X,3,30696000,9987000,16233000,2782000,29002000,59698000,30696000.0,29002000,59698000.0,50705000,15919000,29010000,4971000,49900000,100605000,50705000,49900000,100605000,2015
117,1,5Y,3,0,0,0,0,0,0,4710772.0,21042723,25753495.0,0,0,0,0,0,0,10592898,50069690,60662588,2015
118,1,8C,2,0,0,0,0,0,0,14998.0,662346,677344.0,0,0,0,0,0,0,52103,2254606,2306709,2015
119,1,9E,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2015
120,1,9S,2,0,1951180,1971252,0,3922432,3922432,0.0,3922432,3922432.0,0,7063272,7135932,0,14199204,14199204,0,14199204,14199204,2015
121,1,AA,3,110155124,24287442,17010699,48202691,89500832,199655956,110395239.0,89593784,199989023.0,195473294,38616773,29544866,86877338,155038977,350512271,195881242,155240499,351121741,2015
122,1,ABX,2,25773,0,0,0,0,25773,25773.0,0,25773.0,47791,0,0,0,0,47791,47791,0,47791,2015
123,1,AS,3,32978180,0,0,1251059,1251059,34229239,33038474.0,1251059,34289533.0,65623892,0,0,2215594,2215594,67839486,65732649,2215594,67948243,2015
124,1,B6,3,44725469,0,0,10140197,10140197,54865666,44725469.0,10140197,54865666.0,90381642,0,0,20491403,20491403,110873045,90381642,20491403,110873045,2015
125,1,CP,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2015
