,distance,fl_day,week_num,departures_performed,payload,passengers,freight,air_time,aircraft_type,distance_group,arr_delay,sdomt_gallons,tdomt_gallons,sdomt_cost,tdomt_cost,Year,mkt_unique_carrier_DL,mkt_unique_carrier_UA,mkt_unique_carrier_WN,origin_city_Charlotte,origin_city_Chicago,origin_city_Dallas/Fort Worth,origin_city_Denver,origin_city_Detroit,origin_city_Houston,origin_city_Las Vegas,origin_city_Los Angeles,origin_city_Minneapolis,origin_city_New York,origin_city_Newark,origin_city_Phoenix,origin_city_San Francisco,origin_city_Seattle,origin_city_Washington,dest_city_Charlotte,dest_city_Chicago,dest_city_Dallas/Fort Worth,dest_city_Denver,dest_city_Detroit,dest_city_Houston,dest_city_Las Vegas,dest_city_Los Angeles,dest_city_Minneapolis,dest_city_New York,dest_city_Orlando,dest_city_Phoenix,dest_city_San Francisco,dest_city_Seattle,dest_city_Washington,dep_time_of_day_evening,dep_time_of_day_morning,dep_time_of_day_overnight,arr_time_of_day_evening,arr_time_of_day_morning,arr_time_of_day_overnight
35322,236.0,4,4,236.0,8165600.0,22726.0,28317.0,9565.0,612.0,1.0,-11.0,156295770.8,156532592.0,293397830.2,293803944.4,2018,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
35329,337.0,2,4,11.0,385857.0,1274.0,1227.0,700.0,622.0,1.0,86.0,115001515.0,115971276.2,191543386.6,193359267.6,2018,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
35346,236.0,5,3,4.0,60800.0,245.0,0.0,181.0,629.0,1.0,-21.0,6214610.8,6214610.8,12885113.2,12885113.2,2018,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
35348,1389.0,3,3,64.5,2585600.0,8103.0,2279.0,13271.5,614.0,3.0,-32.0,162609079.0,163140817.6,264949334.8,265791415.6,2018,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
35352,370.0,5,2,145.0,5017000.0,15653.0,10715.0,8949.0,612.0,1.0,8.0,156295770.8,156532592.0,293397830.2,293803944.4,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
35355,594.0,1,5,25.0,892400.0,2860.5,9702.0,2326.5,888.0,2.0,-32.0,147684843.4,149458650.6,284064640.2,288453038.8,2018,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35358,1299.0,2,3,19.0,758352.0,2335.5,400.0,3061.0,614.0,3.0,2.0,147684843.4,149458650.6,284064640.2,288453038.8,2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
35384,370.0,1,5,148.0,2943128.0,8947.0,0.0,8467.0,673.0,1.0,-11.0,0.0,0.0,0.0,0.0,2018,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
35391,802.0,3,4,6.0,420200.0,632.0,3827.0,757.0,637.0,2.0,-22.0,162609079.0,163140817.6,264949334.8,265791415.6,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35393,930.0,3,4,2.5,101220.0,273.0,79.0,291.5,656.0,2.0,-11.0,147684843.4,149458650.6,284064640.2,288453038.8,2018,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
