Month,Gasoline (Thousand bbls_d),Ethane (Thousand bbls_day),Propane (Thousand bbl_d),Jet Fuel (Thousand bbl_d)
21-Jul,1407,2,289,1420
21-Aug,1397,4,288,1432
21-Sep,1351,6,260,1353
21-Oct,1392,2,277,1319
21-Nov,1441,8,287,1435
21-Dec,1540,6,294,1511
22-Jan,1416,9,268,1517
22-Feb,1391,6,269,1502
22-Mar,1337,5,284,1435
22-Apr,1325,5,299,1698
